photograph,row,column,loc,ratio1,ratio2,CFUs,MCH,NP,BGD,date,time,treatment,cw/rw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,12,"('a', 12)",0-10,10-0,0,0,0,2,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,11,"('a', 11)",0-10,10-0,0,0,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,10,"('a', 10)",0-10,10-0,1,0,1,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,9,"('a', 9)",0-10,10-0,1,0,1,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,8,"('a', 8)",0-10,10-0,1,0,1,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,7,"('a', 7)",0-10,10-0,1,0,1,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,6,"('a', 6)",0-10,10-0,24,22,2,1,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,5,"('a', 5)",0-10,10-0,17,9,8,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,4,"('a', 4)",0-10,10-0,16,10,6,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,3,"('a', 3)",0-10,10-0,23,22,1,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,2,"('a', 2)",0-10,10-0,5,1,4,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,a,1,"('a', 1)",0-10,10-0,18,11,7,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,12,"('b', 12)",0-10,10-0,2,0,2,1,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,11,"('b', 11)",0-10,10-0,0,0,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,10,"('b', 10)",0-10,10-0,1,1,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,9,"('b', 9)",0-10,10-0,0,0,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,8,"('b', 8)",0-10,10-0,0,0,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,7,"('b', 7)",0-10,10-0,0,0,0,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,6,"('b', 6)",0-10,10-0,14,10,4,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,5,"('b', 5)",0-10,10-0,16,11,5,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,4,"('b', 4)",0-10,10-0,15,12,3,0,7-3,2hr,N:A,cw
P1050197_1._LPLF_MCH_7-3_10^-1_0-10_10-0_2hr_N:A_cw.JPG,b,3,"('b', 3)",0-10,10-0,11,9,2,0,7-3,2hr,N:A,cw
