photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,12,"('a', 12)",ratio1,ratio2,date,time,treatment,rotation,21.014008911521323,7.884068746021642,13.129940165499681,13.844825824022626,5.194323416958515,8.650502407064112,8.43627109730144,3.165133391312757,5.271137705988683,35.62759214871102,13.366815772199237,22.260776376511778,13.844825824022626,5.194323416958515,8.650502407064112,9.804529524396688,3.6784787290330607,6.1260507953636285
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,11,"('a', 11)",ratio1,ratio2,date,time,treatment,rotation,0.7985537873965627,0.0008249522597071928,0.7977288351368554,0.5261175125683627,0.0005435098270334326,0.5255740027413293,0.32058691250295585,0.00033118482696586346,0.32025572767599,0,0,0,0.5261175125683627,0.0005435098270334326,0.5255740027413293,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,10,"('a', 10)",ratio1,ratio2,date,time,treatment,rotation,0.06187141947803946,0.0,0.06187141947803946,0.04076323702750744,0.0,0.04076323702750744,0.024838862022439758,0.0,0.024838862022439758,0,0,0,0.04076323702750744,0.0,0.04076323702750744,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,9,"('a', 9)",ratio1,ratio2,date,time,treatment,rotation,11.612028007638447,5.245871419478039,6.366156588160407,7.650444325322597,3.4561789901055975,4.194265335216999,4.661757624371494,2.1060043146759257,2.5557533096955685,11.612028007638447,5.245871419478039,6.366156588160407,7.650444325322597,3.4561789901055975,4.194265335216999,7.650444325322597,3.4561789901055975,4.194265335216999
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,8,"('a', 8)",ratio1,ratio2,date,time,treatment,rotation,0.28460852959898153,0.0,0.28460852959898153,0.18751089032653423,0.0,0.18751089032653423,0.11425876530322289,0.0,0.11425876530322289,0,0,0,0.18751089032653423,0.0,0.18751089032653423,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,7,"('a', 7)",ratio1,ratio2,date,time,treatment,rotation,5.347340547422024,2.468257161043921,2.879083386378103,3.5230306988307096,1.6261814024840302,1.8968492963466796,2.146740048392727,0.9909050022818635,1.1558350461108635,2.4949146302806633,1.1516174905584302,1.343297139722233,3.5230306988307096,1.6261814024840302,1.8968492963466796,2.4949146302806633,1.1516174905584302,1.343297139722233
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,6,"('a', 6)",ratio1,ratio2,date,time,treatment,rotation,0.24501082113303627,0.0,0.24501082113303627,0.16142241862892948,0.0,0.16142241862892948,0.09836189360886145,0.0,0.09836189360886145,0,0,0,0.16142241862892948,0.0,0.16142241862892948,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,5,"('a', 5)",ratio1,ratio2,date,time,treatment,rotation,0.07754551241247612,0.0,0.07754551241247612,0.05108992374114266,0.0,0.05108992374114266,0.031131373734791166,0.0,0.031131373734791166,0,0,0,0.05108992374114266,0.0,0.05108992374114266,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,4,"('a', 4)",ratio1,ratio2,date,time,treatment,rotation,0.09569446212603437,0.0,0.09569446212603437,0.06304713993587817,0.0,0.06304713993587817,0.03841743992804016,0.0,0.03841743992804016,0,0,0,0.06304713993587817,0.0,0.06304713993587817,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,3,"('a', 3)",ratio1,ratio2,date,time,treatment,rotation,0.16334054742202417,0.0,0.16334054742202417,0.10761494575261964,0.0,0.10761494575261964,0.06557459573924096,0.0,0.06557459573924096,0,0,0,0.10761494575261964,0.0,0.10761494575261964,0,0,0
